
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),Pico
1066.784942,0.9420,0.0000,0.3869,30.34471500,78.12858667,3.78835559,
1066.787907,0.9459,0.0000,0.3869,30.34471500,78.12858667,3.78835559,
1066.824317,0.9479,0.0000,0.3831,30.34471500,78.12858667,3.78835559,
1066.825410,0.9459,0.0000,0.3831,30.34471500,78.12858667,3.78835559,
1066.864469,0.9244,0.0000,0.3791,30.34471500,78.12858667,3.78835559,
1066.866067,0.8990,0.0000,0.3694,30.34471500,78.12858667,3.78835559,
1066.905396,0.8736,0.0000,0.3596,30.34471500,78.12858667,3.78835559,
1066.907482,0.8619,0.0000,0.3537,30.34471500,78.12858667,3.78835559,
1066.945454,0.8502,0.0000,0.3498,30.34471500,78.12858667,3.78835559,
1066.948247,0.8404,0.0000,0.3459,30.34471500,78.12858667,3.78835559,
1066.985292,0.8365,0.0000,0.3440,30.34471500,78.12858667,3.78835559,
1066.988134,0.8326,0.0000,0.3420,30.34471500,78.12858667,3.78835559,
1067.025004,0.8326,0.0000,0.3420,30.34471500,78.12858667,3.78835559,
1067.027479,0.8365,0.0000,0.3440,30.34471500,78.12858667,3.78835559,
1067.064988,0.8365,0.0000,0.3459,30.34471500,78.12858667,3.78835559,
1067.067694,0.8365,0.0000,0.3459,30.34471500,78.12858667,3.78835559,
1067.104994,0.8385,0.0000,0.3479,30.34471500,78.12858667,3.78835559,
1067.107880,0.8404,0.0000,0.3479,30.34471500,78.12858667,3.78835559,
1067.145422,0.8404,0.0000,0.3459,30.34471500,78.12858667,3.78835559,
1067.148148,0.8404,0.0000,0.3440,30.34471500,78.12858667,3.78835559,
1067.186129,0.8423,0.0000,0.3440,30.34471500,78.12858667,3.78835559,
1067.188537,0.8502,0.0000,0.3440,30.34471500,78.12858667,3.78835559,
1067.228151,0.8560,0.0000,0.3479,30.34471500,78.12858667,3.78835559,
1067.230303,0.8599,0.0000,0.3498,30.34471500,78.12858667,3.78835559,
1067.264755,0.8580,0.0000,0.3517,30.34471500,78.12858667,3.78835559,
1067.267562,0.8541,0.0000,0.3517,30.34471500,78.12858667,3.78835559,
1067.304928,0.8580,0.0000,0.3557,30.34471500,78.12858667,3.78835559,
1067.307117,0.8619,0.0000,0.3635,30.34471500,78.12858667,3.78835559,
1067.345182,0.8795,0.0000,0.3694,30.34471500,78.12858667,3.78835559,
1067.348124,0.8873,0.0000,0.3733,30.34471500,78.12858667,3.78835559,
1067.385834,0.8951,0.0000,0.3771,30.34471500,78.12858667,3.78835559,
1067.388617,0.9049,0.0000,0.3791,30.34471500,78.12858667,3.78835559,
1067.425288,0.9303,0.0000,0.3831,30.34471500,78.12858667,3.78835559,
1067.427673,0.9420,0.0000,0.3850,30.34471500,78.12858667,3.78835559,
1067.467795,0.9440,0.0000,0.3811,30.34471500,78.12858667,3.78835559,
1067.470600,0.9361,0.0000,0.3713,30.34471500,78.12858667,3.78835559,
1067.505119,0.9303,0.0000,0.3635,30.34471500,78.12858667,3.78835559,
1067.507028,0.9244,0.0000,0.3596,30.34471500,78.12858667,3.78835559,
1067.544783,0.9030,0.0000,0.3537,30.34471500,78.12858667,3.78835559,
1067.546265,0.8834,-0.0137,0.3420,30.34471500,78.12858667,3.78835559,
1067.584848,0.8541,-0.0273,0.3342,30.34471500,78.12858667,3.78835559,
1067.587345,0.8385,-0.0410,0.3283,30.34471500,78.12858667,3.78835559,
1067.625208,0.8287,-0.0410,0.3283,30.34471500,78.12858667,3.78835559,
1067.627675,0.8248,-0.0566,0.3303,30.34471500,78.12858667,3.78835559,
1067.664461,0.8150,-0.0703,0.3322,30.34471500,78.12858667,3.78835559,
1067.666112,0.8091,-0.0566,0.3342,30.34474333,78.12860667,3.58812857,
1067.704100,0.8091,-0.0410,0.3381,30.34474333,78.12860667,3.58812857,
1067.705257,0.8228,-0.0293,0.3479,30.34474333,78.12860667,3.58812857,
1067.744857,0.8404,-0.0293,0.3596,30.34474333,78.12860667,3.58812857,
1067.747055,0.8736,-0.0137,0.3694,30.34474333,78.12860667,3.58812857,
1067.785048,0.9049,0.0000,0.3811,30.34474333,78.12860667,3.58812857,
1067.786898,0.9303,0.0000,0.3908,30.34474333,78.12860667,3.58812857,
1067.823881,0.9577,0.0000,0.3987,30.34474333,78.12860667,3.58812857,
1067.825658,0.9811,0.0000,0.4045,30.34474333,78.12860667,3.58812857,
1067.864543,1.0007,0.0000,0.4065,30.34474333,78.12860667,3.58812857,
1067.866692,1.0007,0.0000,0.4026,30.34474333,78.12860667,3.58812857,
1067.904613,0.9850,-0.0137,0.3967,30.34474333,78.12860667,3.58812857,
1067.906654,0.9655,-0.0312,0.3850,30.34474333,78.12860667,3.58812857,
1067.944313,0.9382,-0.0508,0.3752,30.34474333,78.12860667,3.58812857,
1067.946316,0.9068,-0.0762,0.3654,30.34474333,78.12860667,3.58812857,
1067.984912,0.8736,-0.1016,0.3557,30.34474333,78.12860667,3.58812857,
1067.987679,0.8462,-0.1250,0.3517,30.34474333,78.12860667,3.58812857,
1068.024475,0.8345,-0.1309,0.3517,30.34474333,78.12860667,3.58812857,
1068.026962,0.8228,-0.1309,0.3537,30.34474333,78.12860667,3.58812857,
1068.065401,0.8013,-0.1270,0.3537,30.34474333,78.12860667,3.58812857,
1068.068260,0.7857,-0.1172,0.3479,30.34474333,78.12860667,3.58812857,
1068.104956,0.7954,-0.1055,0.3517,30.34474333,78.12860667,3.58812857,
1068.107740,0.8228,-0.0957,0.3654,30.34474333,78.12860667,3.58812857,
1068.147153,0.8482,-0.0899,0.3811,30.34474333,78.12860667,3.58812857,
1068.150267,0.8639,-0.0859,0.3908,30.34474333,78.12860667,3.58812857,
1068.185018,0.8912,-0.0703,0.4006,30.34474333,78.12860667,3.58812857,
1068.187385,0.9382,-0.0547,0.4183,30.34474333,78.12860667,3.58812857,
1068.225384,0.9615,-0.0547,0.4358,30.34474333,78.12860667,3.58812857,
1068.230267,0.9772,-0.0586,0.4476,30.34474333,78.12860667,3.58812857,
1068.263600,0.9792,-0.0586,0.4456,30.34474333,78.12860667,3.58812857,
1068.265343,0.9752,-0.0664,0.4358,30.34474333,78.12860667,3.58812857,
1068.304412,0.9733,-0.0859,0.4241,30.34474333,78.12860667,3.58812857,
1068.306940,0.9538,-0.1094,0.4162,30.34474333,78.12860667,3.58812857,
1068.347403,0.9401,-0.1250,0.3987,30.34474333,78.12860667,3.58812857,
1068.349424,0.9068,-0.1446,0.3733,30.34474333,78.12860667,3.58812857,
1068.384052,0.8756,-0.1641,0.3537,30.34474333,78.12860667,3.58812857,
1068.386243,0.8560,-0.1798,0.3459,30.34474333,78.12860667,3.58812857,
1068.424852,0.8365,-0.1954,0.3440,30.34474333,78.12860667,3.58812857,
1068.427554,0.8208,-0.2071,0.3381,30.34474333,78.12860667,3.58812857,
1068.464747,0.8091,-0.2130,0.3400,30.34474333,78.12860667,3.58812857,
